Name,Ratings,Number of Reviews,Positive Points,Average Salary,Number of interviews,Number of Jobs,Company Details
Reliance Retail,3.9,18.4k,"Skill Development / Learning, Job Security",58.9k,1.1k,240,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +975 more
HDB Financial Services,4.0,17.8k,"Skill Development / Learning, Job Security, Company Culture",50.1k,565,43,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +936 more
TCS,3.8,71.8k,"Job Security, Work Life Balance",854.6k,5.9k,595,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +335 more
Accenture,4.0,45.4k,"Company Culture, Job Security, Skill Development / Learning",583.8k,4.1k,4.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +166 more
Cognizant,3.9,40.9k,Skill Development / Learning,559.4k,3.5k,587,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +153 more
Wipro,3.8,36.3k,Job Security,414.7k,3.4k,304,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +268 more
HDFC Bank,3.9,33.3k,"Job Security, Skill Development / Learning",131.9k,1.5k,216,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1513 more
ICICI Bank,4.0,33k,"Job Security, Skill Development / Learning, Company Culture",143.9k,1.8k,215,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1264 more
Infosys,3.8,31.1k,"Job Security, Company Culture, Skill Development / Learning",463.1k,4.6k,799,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +169 more
Capgemini,3.8,29k,"Job Security, Work Life Balance, Skill Development / Learning",372.5k,2.3k,588,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +121 more
HCLTech,3.6,27.8k,Job Security,290.1k,2.4k,486,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +178 more
Tech Mahindra,3.7,27k,"Promotions / Appraisal, Salary & Benefits",252.4k,2.3k,1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +258 more
Genpact,3.9,25.7k,"Job Security, Skill Development / Learning, Work Life Balance",190k,1.9k,547,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +104 more
Axis Bank,3.8,21.6k,Job Security,98k,1.1k,321,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1282 more
Concentrix Corporation,3.9,21.4k,"Job Security, Company Culture",105.1k,1k,126,BPO | 50k-1 Lakh Employees | Public | 41 years old | Fremont +108 more
Teleperformance,3.5,20.4k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",75.8k,1.1k,266,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +171 more
Amazon,4.1,20.4k,"Company Culture, Salary & Benefits, Work Life Balance",142.2k,3.3k,698,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +431 more
Reliance Jio,4.0,20.3k,"Job Security, Skill Development / Learning",67.8k,1.2k,131,Telecom | 50k-1 Lakh Employees | Public | 17 years old | Navi Mumbai +1164 more
IBM,4.1,19.4k,"Work Life Balance, Job Security, Skill Development / Learning",224.2k,1.4k,1.7k,Software Product | 1 Lakh+ Employees | Public | 113 years old | Armonk +143 more
Larsen & Toubro Limited,4.0,18.4k,"Job Security, Skill Development / Learning",79.3k,1k,121,Engineering & Construction | 10k-50k Employees | Public | 86 years old | Mumbai +627 more
Reliance Retail,3.9,18.4k,"Skill Development / Learning, Job Security",58.9k,1.1k,240,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +975 more
HDB Financial Services,4.0,17.8k,"Skill Development / Learning, Job Security, Company Culture",50.1k,565,43,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +936 more
TCS,3.8,71.8k,"Job Security, Work Life Balance",854.6k,5.9k,595,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +335 more
Accenture,4.0,45.4k,"Company Culture, Job Security, Skill Development / Learning",583.8k,4.1k,4.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +166 more
Cognizant,3.9,40.9k,Skill Development / Learning,559.4k,3.5k,587,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +153 more
Wipro,3.8,36.3k,Job Security,414.7k,3.4k,304,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +268 more
HDFC Bank,3.9,33.3k,"Job Security, Skill Development / Learning",131.9k,1.5k,216,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1513 more
ICICI Bank,4.0,33k,"Job Security, Skill Development / Learning, Company Culture",143.9k,1.8k,215,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1264 more
Infosys,3.8,31.1k,"Job Security, Company Culture, Skill Development / Learning",463.1k,4.6k,799,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +169 more
Capgemini,3.8,29k,"Job Security, Work Life Balance, Skill Development / Learning",372.5k,2.3k,588,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +121 more
HCLTech,3.6,27.8k,Job Security,290.1k,2.4k,486,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +178 more
Tech Mahindra,3.7,27k,"Promotions / Appraisal, Salary & Benefits",252.4k,2.3k,1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +258 more
Genpact,3.9,25.7k,"Job Security, Skill Development / Learning, Work Life Balance",190k,1.9k,547,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +104 more
Axis Bank,3.8,21.6k,Job Security,98k,1.1k,321,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1282 more
Concentrix Corporation,3.9,21.4k,"Job Security, Company Culture",105.1k,1k,126,BPO | 50k-1 Lakh Employees | Public | 41 years old | Fremont +108 more
Teleperformance,3.5,20.4k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",75.8k,1.1k,266,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +171 more
Amazon,4.1,20.4k,"Company Culture, Salary & Benefits, Work Life Balance",142.2k,3.3k,698,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +431 more
Reliance Jio,4.0,20.3k,"Job Security, Skill Development / Learning",67.8k,1.2k,131,Telecom | 50k-1 Lakh Employees | Public | 17 years old | Navi Mumbai +1164 more
IBM,4.1,19.4k,"Work Life Balance, Job Security, Skill Development / Learning",224.2k,1.4k,1.7k,Software Product | 1 Lakh+ Employees | Public | 113 years old | Armonk +143 more
Larsen & Toubro Limited,4.0,18.4k,"Job Security, Skill Development / Learning",79.3k,1k,121,Engineering & Construction | 10k-50k Employees | Public | 86 years old | Mumbai +627 more
Reliance Retail,3.9,18.4k,"Skill Development / Learning, Job Security",58.9k,1.1k,240,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +975 more
HDB Financial Services,4.0,17.8k,"Skill Development / Learning, Job Security, Company Culture",50.1k,565,43,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +936 more
TCS,3.8,71.8k,"Job Security, Work Life Balance",854.6k,5.9k,595,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +335 more
Accenture,4.0,45.4k,"Company Culture, Job Security, Skill Development / Learning",583.8k,4.1k,4.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +166 more
Cognizant,3.9,40.9k,Skill Development / Learning,559.4k,3.5k,587,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +153 more
Wipro,3.8,36.3k,Job Security,414.7k,3.4k,304,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +268 more
HDFC Bank,3.9,33.3k,"Job Security, Skill Development / Learning",131.9k,1.5k,216,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1513 more
ICICI Bank,4.0,33k,"Job Security, Skill Development / Learning, Company Culture",143.9k,1.8k,215,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1264 more
Infosys,3.8,31.1k,"Job Security, Company Culture, Skill Development / Learning",463.1k,4.6k,799,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +169 more
Capgemini,3.8,29k,"Job Security, Work Life Balance, Skill Development / Learning",372.5k,2.3k,588,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +121 more
HCLTech,3.6,27.8k,Job Security,290.1k,2.4k,486,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +178 more
Tech Mahindra,3.7,27k,"Promotions / Appraisal, Salary & Benefits",252.4k,2.3k,1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +258 more
Genpact,3.9,25.7k,"Job Security, Skill Development / Learning, Work Life Balance",190k,1.9k,547,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +104 more
Axis Bank,3.8,21.6k,Job Security,98k,1.1k,321,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1282 more
Concentrix Corporation,3.9,21.4k,"Job Security, Company Culture",105.1k,1k,126,BPO | 50k-1 Lakh Employees | Public | 41 years old | Fremont +108 more
Teleperformance,3.5,20.4k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",75.8k,1.1k,266,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +171 more
Amazon,4.1,20.4k,"Company Culture, Salary & Benefits, Work Life Balance",142.2k,3.3k,698,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +431 more
Reliance Jio,4.0,20.3k,"Job Security, Skill Development / Learning",67.8k,1.2k,131,Telecom | 50k-1 Lakh Employees | Public | 17 years old | Navi Mumbai +1164 more
IBM,4.1,19.4k,"Work Life Balance, Job Security, Skill Development / Learning",224.2k,1.4k,1.7k,Software Product | 1 Lakh+ Employees | Public | 113 years old | Armonk +143 more
Larsen & Toubro Limited,4.0,18.4k,"Job Security, Skill Development / Learning",79.3k,1k,121,Engineering & Construction | 10k-50k Employees | Public | 86 years old | Mumbai +627 more
Reliance Retail,3.9,18.4k,"Skill Development / Learning, Job Security",58.9k,1.1k,240,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +975 more
HDB Financial Services,4.0,17.8k,"Skill Development / Learning, Job Security, Company Culture",50.1k,565,43,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +936 more
TCS,3.8,71.8k,"Job Security, Work Life Balance",854.6k,5.9k,595,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +335 more
Accenture,4.0,45.4k,"Company Culture, Job Security, Skill Development / Learning",583.8k,4.1k,4.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +166 more
Cognizant,3.9,40.9k,Skill Development / Learning,559.4k,3.5k,587,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +153 more
Wipro,3.8,36.3k,Job Security,414.7k,3.4k,304,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +268 more
HDFC Bank,3.9,33.3k,"Job Security, Skill Development / Learning",131.9k,1.5k,216,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1513 more
ICICI Bank,4.0,33k,"Job Security, Skill Development / Learning, Company Culture",143.9k,1.8k,215,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1264 more
Infosys,3.8,31.1k,"Job Security, Company Culture, Skill Development / Learning",463.1k,4.6k,799,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +169 more
Capgemini,3.8,29k,"Job Security, Work Life Balance, Skill Development / Learning",372.5k,2.3k,588,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +121 more
HCLTech,3.6,27.8k,Job Security,290.1k,2.4k,486,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +178 more
Tech Mahindra,3.7,27k,"Promotions / Appraisal, Salary & Benefits",252.4k,2.3k,1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +258 more
Genpact,3.9,25.7k,"Job Security, Skill Development / Learning, Work Life Balance",190k,1.9k,547,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +104 more
Axis Bank,3.8,21.6k,Job Security,98k,1.1k,321,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1282 more
Concentrix Corporation,3.9,21.4k,"Job Security, Company Culture",105.1k,1k,126,BPO | 50k-1 Lakh Employees | Public | 41 years old | Fremont +108 more
Teleperformance,3.5,20.4k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",75.8k,1.1k,266,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +171 more
Amazon,4.1,20.4k,"Company Culture, Salary & Benefits, Work Life Balance",142.2k,3.3k,698,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +431 more
Reliance Jio,4.0,20.3k,"Job Security, Skill Development / Learning",67.8k,1.2k,131,Telecom | 50k-1 Lakh Employees | Public | 17 years old | Navi Mumbai +1164 more
IBM,4.1,19.4k,"Work Life Balance, Job Security, Skill Development / Learning",224.2k,1.4k,1.7k,Software Product | 1 Lakh+ Employees | Public | 113 years old | Armonk +143 more
Larsen & Toubro Limited,4.0,18.4k,"Job Security, Skill Development / Learning",79.3k,1k,121,Engineering & Construction | 10k-50k Employees | Public | 86 years old | Mumbai +627 more
Reliance Retail,3.9,18.4k,"Skill Development / Learning, Job Security",58.9k,1.1k,240,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +975 more
HDB Financial Services,4.0,17.8k,"Skill Development / Learning, Job Security, Company Culture",50.1k,565,43,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +936 more
TCS,3.8,71.8k,"Job Security, Work Life Balance",854.6k,5.9k,595,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +335 more
Accenture,4.0,45.4k,"Company Culture, Job Security, Skill Development / Learning",583.8k,4.1k,4.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +166 more
Cognizant,3.9,40.9k,Skill Development / Learning,559.4k,3.5k,587,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +153 more
Wipro,3.8,36.3k,Job Security,414.7k,3.4k,304,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +268 more
HDFC Bank,3.9,33.3k,"Job Security, Skill Development / Learning",131.9k,1.5k,216,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1513 more
ICICI Bank,4.0,33k,"Job Security, Skill Development / Learning, Company Culture",143.9k,1.8k,215,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1264 more
Infosys,3.8,31.1k,"Job Security, Company Culture, Skill Development / Learning",463.1k,4.6k,799,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +169 more
Capgemini,3.8,29k,"Job Security, Work Life Balance, Skill Development / Learning",372.5k,2.3k,588,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +121 more
HCLTech,3.6,27.8k,Job Security,290.1k,2.4k,486,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +178 more
Tech Mahindra,3.7,27k,"Promotions / Appraisal, Salary & Benefits",252.4k,2.3k,1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +258 more
Genpact,3.9,25.7k,"Job Security, Skill Development / Learning, Work Life Balance",190k,1.9k,547,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +104 more
Axis Bank,3.8,21.6k,Job Security,98k,1.1k,321,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1282 more
Concentrix Corporation,3.9,21.4k,"Job Security, Company Culture",105.1k,1k,126,BPO | 50k-1 Lakh Employees | Public | 41 years old | Fremont +108 more
Teleperformance,3.5,20.4k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",75.8k,1.1k,266,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +171 more
Amazon,4.1,20.4k,"Company Culture, Salary & Benefits, Work Life Balance",142.2k,3.3k,698,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +431 more
Reliance Jio,4.0,20.3k,"Job Security, Skill Development / Learning",67.8k,1.2k,131,Telecom | 50k-1 Lakh Employees | Public | 17 years old | Navi Mumbai +1164 more
IBM,4.1,19.4k,"Work Life Balance, Job Security, Skill Development / Learning",224.2k,1.4k,1.7k,Software Product | 1 Lakh+ Employees | Public | 113 years old | Armonk +143 more
Larsen & Toubro Limited,4.0,18.4k,"Job Security, Skill Development / Learning",79.3k,1k,121,Engineering & Construction | 10k-50k Employees | Public | 86 years old | Mumbai +627 more
Reliance Retail,3.9,18.4k,"Skill Development / Learning, Job Security",58.9k,1.1k,240,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +975 more
HDB Financial Services,4.0,17.8k,"Skill Development / Learning, Job Security, Company Culture",50.1k,565,43,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +936 more
TCS,3.8,71.8k,"Job Security, Work Life Balance",854.6k,5.9k,595,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +335 more
Accenture,4.0,45.4k,"Company Culture, Job Security, Skill Development / Learning",583.8k,4.1k,4.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +166 more
Cognizant,3.9,40.9k,Skill Development / Learning,559.4k,3.5k,587,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +153 more
Wipro,3.8,36.3k,Job Security,414.7k,3.4k,304,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +268 more
HDFC Bank,3.9,33.3k,"Job Security, Skill Development / Learning",131.9k,1.5k,216,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1513 more
ICICI Bank,4.0,33k,"Job Security, Skill Development / Learning, Company Culture",143.9k,1.8k,215,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1264 more
Infosys,3.8,31.1k,"Job Security, Company Culture, Skill Development / Learning",463.1k,4.6k,799,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +169 more
Capgemini,3.8,29k,"Job Security, Work Life Balance, Skill Development / Learning",372.5k,2.3k,588,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +121 more
HCLTech,3.6,27.8k,Job Security,290.1k,2.4k,486,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +178 more
Tech Mahindra,3.7,27k,"Promotions / Appraisal, Salary & Benefits",252.4k,2.3k,1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +258 more
Genpact,3.9,25.7k,"Job Security, Skill Development / Learning, Work Life Balance",190k,1.9k,547,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +104 more
Axis Bank,3.8,21.6k,Job Security,98k,1.1k,321,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1282 more
Concentrix Corporation,3.9,21.4k,"Job Security, Company Culture",105.1k,1k,126,BPO | 50k-1 Lakh Employees | Public | 41 years old | Fremont +108 more
Teleperformance,3.5,20.4k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",75.8k,1.1k,266,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +171 more
Amazon,4.1,20.4k,"Company Culture, Salary & Benefits, Work Life Balance",142.2k,3.3k,698,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +431 more
Reliance Jio,4.0,20.3k,"Job Security, Skill Development / Learning",67.8k,1.2k,131,Telecom | 50k-1 Lakh Employees | Public | 17 years old | Navi Mumbai +1164 more
IBM,4.1,19.4k,"Work Life Balance, Job Security, Skill Development / Learning",224.2k,1.4k,1.7k,Software Product | 1 Lakh+ Employees | Public | 113 years old | Armonk +143 more
Larsen & Toubro Limited,4.0,18.4k,"Job Security, Skill Development / Learning",79.3k,1k,121,Engineering & Construction | 10k-50k Employees | Public | 86 years old | Mumbai +627 more
Reliance Retail,3.9,18.4k,"Skill Development / Learning, Job Security",58.9k,1.1k,240,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +975 more
HDB Financial Services,4.0,17.8k,"Skill Development / Learning, Job Security, Company Culture",50.1k,565,43,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +936 more
TCS,3.8,71.8k,"Job Security, Work Life Balance",854.6k,5.9k,595,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +335 more
Accenture,4.0,45.4k,"Company Culture, Job Security, Skill Development / Learning",583.8k,4.1k,4.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +166 more
Cognizant,3.9,40.9k,Skill Development / Learning,559.4k,3.5k,587,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +153 more
Wipro,3.8,36.3k,Job Security,414.7k,3.4k,304,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +268 more
HDFC Bank,3.9,33.3k,"Job Security, Skill Development / Learning",131.9k,1.5k,216,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1513 more
ICICI Bank,4.0,33k,"Job Security, Skill Development / Learning, Company Culture",143.9k,1.8k,215,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1264 more
Infosys,3.8,31.1k,"Job Security, Company Culture, Skill Development / Learning",463.1k,4.6k,799,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +169 more
Capgemini,3.8,29k,"Job Security, Work Life Balance, Skill Development / Learning",372.5k,2.3k,588,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +121 more
HCLTech,3.6,27.8k,Job Security,290.1k,2.4k,486,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +178 more
Tech Mahindra,3.7,27k,"Promotions / Appraisal, Salary & Benefits",252.4k,2.3k,1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +258 more
